timestamp,motion,sound_level,gas_level,threat_level,alerts
2026-05-11T19:24:12.492534,True,90,40,medium,Possible aggressive activity
2026-05-11T20:07:44.362414,True,82,485,high,Possible aggressive activity; Poor air quality detected; Dangerous gas level detected
2026-05-11T20:07:49.367142,False,116,450,high,Poor air quality detected; Dangerous gas level detected
2026-05-11T20:07:54.371141,True,44,460,high,Poor air quality detected; Dangerous gas level detected
2026-05-11T20:07:59.375839,True,113,83,high,Possible aggressive activity; Possible emergency screaming detected
2026-05-11T20:08:04.380382,True,99,500,high,Possible aggressive activity; Poor air quality detected; Dangerous gas level detected
2026-05-11T20:08:09.385872,True,50,201,low,
2026-05-11T20:08:14.389708,True,59,202,low,
2026-05-11T20:08:19.394037,False,67,417,high,Poor air quality detected; Dangerous gas level detected
2026-05-11T20:08:24.397873,False,48,321,medium,Poor air quality detected
2026-05-11T20:08:29.401835,True,91,193,medium,Possible aggressive activity
2026-05-11T20:08:34.405722,False,68,73,low,
2026-05-11T20:08:39.409826,False,50,321,medium,Poor air quality detected
2026-05-11T20:08:44.413790,True,69,183,low,
2026-05-11T20:08:49.417474,True,72,129,low,
2026-05-11T20:08:54.421357,True,77,23,low,
2026-05-11T20:08:59.425772,False,84,148,low,
2026-05-11T20:09:04.429796,False,51,494,high,Poor air quality detected; Dangerous gas level detected
2026-05-11T20:09:09.433684,False,52,135,low,
2026-05-11T20:09:14.437631,False,33,314,medium,Poor air quality detected
2026-05-11T20:09:19.441913,True,55,491,high,Poor air quality detected; Dangerous gas level detected
2026-05-11T20:09:24.446073,False,41,112,low,
2026-05-11T20:09:29.449652,False,34,330,medium,Poor air quality detected
2026-05-11T20:09:34.454109,False,62,358,medium,Poor air quality detected
2026-05-11T20:09:39.458284,True,117,46,high,Possible aggressive activity; Possible emergency screaming detected
2026-05-11T20:09:44.462310,False,34,499,high,Poor air quality detected; Dangerous gas level detected
2026-05-11T20:09:49.466032,False,82,310,medium,Poor air quality detected
2026-05-11T20:09:54.470015,True,89,268,medium,Possible aggressive activity; Poor air quality detected
2026-05-11T20:09:59.474199,False,39,39,low,
